Hand,Probability
AA,0.81964
AKs,0.612724
AQs,0.606784
AJs,0.60016
ATs,0.59178
A9s,0.573324
A8s,0.56806
A7s,0.555912
A6s,0.545196
A5s,0.548896
A4s,0.539112
A3s,0.534592
A2s,0.521564
AKo,0.593716
KK,0.80018
KQs,0.582588
KJs,0.575788
KTs,0.571332
K9s,0.553504
K8s,0.535324
K7s,0.528076
K6s,0.520612
K5s,0.513136
K4s,0.504464
K3s,0.495524
K2s,0.48424
AQo,0.587112
KQo,0.563136
QQ,0.77882
QJs,0.559996
QTs,0.552612
Q9s,0.534112
Q8s,0.519684
Q7s,0.501632
Q6s,0.493592
Q5s,0.485348
Q4s,0.4808
Q3s,0.473088
Q2s,0.45416
AJo,0.579576
KJo,0.555148
QJo,0.536908
JJ,0.759032
JTs,0.539424
J9s,0.522388
J8s,0.503268
J7s,0.486872
J6s,0.470116
J5s,0.464048
J4s,0.455448
J3s,0.449172
J2s,0.429264
ATo,0.57052
KTo,0.547976
QTo,0.529196
JTo,0.514568
TT,0.74012
T9s,0.507924
T8s,0.493764
T7s,0.47418
T6s,0.4558
T5s,0.439868
T4s,0.433652
T3s,0.42796
T2s,0.406244
A9o,0.551828
K9o,0.531444
Q9o,0.5105
J9o,0.494308
T9o,0.480496
99,0.71472
98s,0.478692
97s,0.46228
96s,0.445572
95s,0.43012
94s,0.410368
93s,0.407304
92s,0.381304
A8o,0.542448
K8o,0.510536
Q8o,0.493032
J8o,0.476908
T8o,0.461908
98o,0.452016
88,0.69144
87s,0.452964
86s,0.43428
85s,0.421736
84s,0.403188
83s,0.385968
82s,0.3605
A7o,0.533732
K7o,0.503096
Q7o,0.473468
J7o,0.459452
T7o,0.446324
97o,0.43292
87o,0.42452
77,0.664648
76s,0.430548
75s,0.411788
74s,0.395564
73s,0.378916
72s,0.339512
A6o,0.522224
K6o,0.494768
Q6o,0.467012
J6o,0.442716
T6o,0.429996
96o,0.41768
86o,0.406492
76o,0.399664
66,0.640716
65s,0.408612
64s,0.392208
63s,0.375224
62s,0.33364
A5o,0.523664
K5o,0.48586
Q5o,0.45924
J5o,0.43496
T5o,0.409528
95o,0.396308
85o,0.389628
75o,0.379964
65o,0.378688
55,0.617748
54s,0.394384
53s,0.379648
52s,0.337092
A4o,0.514868
K4o,0.4761
Q4o,0.45098
J4o,0.425968
T4o,0.404804
94o,0.37892
84o,0.371316
74o,0.360944
64o,0.356764
54o,0.362356
44,0.588296
43s,0.371064
42s,0.331372
A3o,0.506032
K3o,0.468328
Q3o,0.4425
J3o,0.418644
T3o,0.396904
93o,0.374664
83o,0.350788
73o,0.344008
63o,0.34108
53o,0.343836
43o,0.333788
33,0.558804
32s,0.3204
A2o,0.495212
K2o,0.4543
Q2o,0.424188
J2o,0.397184
T2o,0.371692
92o,0.345128
82o,0.324984
72o,0.301892
62o,0.29942
52o,0.299956
42o,0.29258
32o,0.284788
22,0.434564
